epic, name, current price (p), day change (p), day change (%)
III;3i Group Plc;1,318.00;+2.50;+0.19%
ADM;Admiral Group;2,036.00;-23.00;-1.12%
AAF;Airtel Africa plc;121.80;-1.70;-1.38%
AAL;Anglo American;3,296.00;-5.50;-0.17%
ANTO;Antofagasta plc;1,434.50;+29.00;+2.06%
AHT;Ashtead Group plc;5,012.00;-74.00;-1.45%
ABF;Associated British Foods plc;1,667.50;+80.00;+5.04%
AZN;AstraZeneca plc;11,178.00;-22.00;-0.20%
AUTO;Auto Trader Group plc;575.20;-1.60;-0.28%
AVV;AVEVA Group plc;3,183.00;-3.00;-0.09%
AV.;Aviva Plc;444.80;-0.70;-0.16%
BME;B&M European Value Retail SA;417.70;+2.60;+0.63%
BA.;BAE Systems plc;813.20;-1.80;-0.22%
BARC;Barclays plc;156.82;-1.46;-0.92%
BDEV;Barratt Developments plc;409.40;+3.90;+0.96%
BKG;Berkeley Group Holdings plc;3,849.00;+2.00;+0.05%
BP.;BP Plc;480.90;-8.55;-1.75%
BATS;British American Tobacco plc;3,408.00;+17.00;+0.50%
BLND;British Land Co plc;401.50;+4.50;+1.13%
BT.A;BT Group plc;120.70;+0.15;+0.12%
BNZL;Bunzl plc;3,050.00;+4.00;+0.13%
BRBY;Burberry Group plc;2,164.00;+13.00;+0.60%
CNA;Centrica plc;95.00;-0.54;-0.57%
CCH;Coca-Cola HBC AG;2,029.00;+14.00;+0.69%
CPG;Compass Group plc;1,875.00;+8.50;+0.46%
CTEC;ConvaTec Group Plc;232.40;+0.40;+0.17%
CRH;CRH plc;3,285.00;+6.50;+0.20%
CRDA;Croda International plc;6,976.00;+54.00;+0.78%
DCC;DCC plc;4,392.00;-36.00;-0.81%
DPH;Dechra Pharmaceuticals plc;2,790.00;+12.00;+0.43%
DGE;Diageo plc;3,847.00;+1.00;+0.03%
EDV;Endeavour Mining plc;1,750.00;-6.00;-0.34%
ENT;Entain plc;1,397.50;-5.50;-0.39%
EXPN;Experian Plc;2,967.00;+13.00;+0.44%
